Relevance;Url;Title;03/11/2015;03/12/2015;03/23/2015;03/24/2015;
;http://www.portsmouthnh.com/dining/;Portsmouth NH restaurants, Kittery ME, the Seacoast;29;23;0;0;
;http://www.durham-nc.com/restaurants/;Restaurants - Durham - Durham;28;22;28;26;
;http://www.tripadvisor.com/Restaurants-g34088-Boca_Raton_Florida.html;Best Restaurants in Boca Raton, FL - TripAdvisor;27;24;0;0;
;http://www.tripadvisor.com/Restaurants-g60798-Gettysburg_Pennsylvania.html;Best Restaurants in Gettysburg, PA - TripAdvisor;26;0;0;0;
;http://www.visitlex.com/restaurants/;Restaurants in Lexington, KY: Horse Capital of the World;25;21;0;0;
;http://www.edibleaustin.com/index.php/where-to-eat-in-central-texas;Locally Sourcing Restaurants - Austin - Edible Austin;24;16;26;23;
;http://www.goprovidence.com/rw/local-121-restaurant/;Local 121 Restaurant | Providence Restaurants Weeks;23;20;21;20;
;http://washington.org/topics/restaurants-food-wine;Restaurants, Food & Wine | washington.org;22;19;0;0;
;http://louisvilleoriginals.com/;Louisville Originals | Independently-Owned Restaurants in ...;21;18;0;0;
;http://www.aotourism.com/Dining/;AO Tourism | Dining - Auburn;20;17;2;0;
;http://www.godowntownraleigh.com/explore/dining;Explore Here :: Restaurants & Dining :: Downtown Raleigh;19;15;20;19;
;http://blog.chron.com/bayoucityhistory/2015/03/local-restaurants-serving-horse-meat-this-forgotten-day-in-houston/;Local Restaurants Serving Horse Meat? – This Forgotten ...;18;0;0;0;
;http://www.menupages.com/restaurants/all-areas/all-neighborhoods/local-organic/;Local/Organic Restaurants - New York City, Menus, Ratings ...;17;14;0;0;
;http://crystalcity.hyatt.com/en/hotel/dining/local-dining.html;Local Dining - Arlington - Hyatt Regency Crystal City;16;12;0;0;
;http://www.kcoriginals.com/;Kansas City Originals | Independently-Owned Restaurants ...;15;10;0;8;
;http://www.minneapolis.org/visitor/food-wine;Food and Wine Minneapolis | Restaurants in Minneapolis;14;9;5;2;
;http://www.southernliving.com/travel/south-east/culinary-tour-of-restaurants-in-savannah/savannah-restaurants-local-11-ten;Savannah Restaurants: Local 11 Ten - Restaurants in ...;13;8;0;0;
;http://www.bouldercoloradousa.com/visitor/restaurants/;Boulder Restaurants | Select a Restaurant by Category;12;7;24;12;
;http://www.mcdonalds.com/us/en/restaurant_locator.html;Restaurant Locator :: McDonalds.com;11;11;16;18;
;http://www.fargomoorhead.org/restaurants-overview.html;Restaurants - Fargo - Fargo-Moorhead Convention and ...;10;4;11;6;
;http://www.nhfarmtorestaurant.com/restaurant-certified-local-progra/certified-restaurants/;CERTIFIED RESTAURANTS — NH Farm to Restaurant ...;9;5;0;0;
;http://highcountryhost.com/dining/;Places to Eat NC High Country Dining Restaurants;8;2;0;0;
;http://www.hartford.com/restaurants/;Hartford.com | Restaurants;7;3;0;0;
;http://www.urbanfarmonline.com/sustainable-living/urban-farm-resources/local-food-restaurants/local-food-restaurants.aspx;Local-food Restaurants - Urban Farm Online;6;1;6;3;
;http://www.thelocalboone.com/;The Local Boone NC Restaurants;5;0;30;27;
;http://www.lawrence.com/restaurants/;Restaurants | Lawrence.com;4;0;0;0;
;http://www.holland.org/dining/;Restaurants - Holland - Holland Michigan;3;0;0;14;
;http://kcfoodcircle.org/restaurants/;Restaurants - Kansas City Food Circle;2;0;1;0;
;http://www.inquisitr.com/1865735/critically-endangered-pangolins-were-rescued-than-sold-as-food-to-local-restaurants/;Critically Endangered Pangolins Were Rescued, Then Sold ...;1;0;0;0;
;http://tasteofatlanta.com/restaurants.php;Atlanta Restaurants | Food Lovers | Taste of Atlanta;0;42;40;40;
;http://www.visitathensga.com/restaurants/;Athens Georgia Restaurants and Dining Guide - Visit Athens;0;36;37;36;
;http://www.newsplex.com/home/headlines/Local-Restaurants-Host-For-UVa-Basketball-296128011.html;Local Restaurants Host For UVa Basketball - Newsplex;0;32;0;0;
;http://www.bellevuedowntown.com/blogs/bellevue-local-table-blog;Bellevue Local Table Blog - Bellevue Downtown Association;0;31;0;0;
;http://www.bizjournals.com/philadelphia/news/2015/03/12/25-local-restaurants-under-review-for-disability.html;25 local restaurants under review for disabilities compliance ...;0;30;0;0;
;http://localrestaurantweek.com/restaurant_profile7efb.html;Pizza Plant - Buffalo - Local Restaurant Week;0;29;31;0;
;http://localrestaurantweek.com/restaurant_profilee0e1.html?id=318940&city=&time=&token=13503111170;Buffalo Chophouse - Local Restaurant Week;0;27;0;0;
;http://www.wgrz.com/story/life/2015/03/08/restaurant-week-starts-monday/24625425/;Local Restaurant Week Begins - Buffalo - WGRZ.com;0;13;0;0;
;http://www.sonomacounty.com/sonoma-listings/restaurants;Restaurants | Sonoma County (Official Site);0;6;13;9;
;http://www.11alive.com/story/news/local/2015/03/12/atlanta-best-fried-chicken/70245772/;Three local restaurants make 'Best Fried Chicken' list - 11Alive;0;0;42;41;
;http://www.henryherald.com/news/2015/mar/10/local-restaurants-bars-hosting-st-patrick8217s/;Local restaurants, bars hosting St. Patrick's Day celebrations ...;0;0;36;35;
;http://www.exploreasheville.com/restaurants/;Asheville Restaurants and Dining - Explore Asheville;0;0;29;28;
;http://www.thelocalrestaurantandbar.com/;The Local Restaurant and Bar - Local~Seasonal~Sustainable;0;0;27;24;
;http://fox13now.com/2015/03/21/local-restaurants-a-hive-of-activity-as-utah-competes-in-ncaa-tournament/;Local restaurants a hive of activity as Utah competes in ...;0;0;25;22;
;http://www.visitbloomington.com/visitors/restaurants/;Bloomington Restaurants | Dining Guide, Photos & Maps;0;0;23;21;
;http://www.lehighvalleylive.com/food/index.ssf/2015/03/national_puppy_day_these_local.html;National Puppy Day: These local restaurants offer secret ...;0;0;19;0;
;https://www.portsmouthnh.com/dining/;Portsmouth NH restaurants, Kittery ME, the Seacoast;0;0;18;17;
;http://www.nolalocavore.org/restaurants/;Participating Restaurants | Eat Local Challenge 2015;0;0;17;15;
;http://www.chron.com/news/houston-texas/article/Local-restaurants-serving-horse-meat-6123386.php;Local restaurants serving horse meat? - Houston Chronicle;0;0;15;7;
;http://www.eatlocalcincy.com/;Eat Local Cincy | Independently-Owned Restaurants in ...;0;0;14;11;
;http://www.vice.com/read/vietnamese-authorities-sold-a-bunch-of-endangered-animals-to-local-restaurants-168;Vietnamese Authorities Sold a Bunch of Adorable ... - Vice;0;0;12;13;
;http://www.visitaggieland.com/restaurants/restaurant-guide/;Restaurant Guide for Bryan College Station, Texas;0;0;10;5;
;https://www.localdines.com/southflorida/location/Find-Restaurants-West-Palm-Beach;West Palm Beach - Local Dines | Local Restaurant Deals in ...;0;0;9;10;
;http://www.anotherbrokenegg.com/locations/search;Another Broken Egg Locations | Local restaurants located ...;0;0;8;0;
;http://www.visitrapidcity.com/dining;Restaurants in Rapid City, South Dakota;0;0;7;0;
;http://www.springfieldmo.org/dining/c/locally-owned;Locally Owned - Springfield Missouri Travel & Tourism;0;0;4;1;
;http://www.localpgh.com/;Local Bar + Kitchen: Pittsburgh's Best Bars and Restaurants;0;0;3;4;
;http://www.localrestaurantweek.com/restaurant_profile5289.html?id=753042&city=&time=&token=21440375220;Orazio's Restaurant - Buffalo - Restaurants | Local ...;0;0;0;31;
;http://www.tripadvisor.com/Restaurants-g40790-Ogunquit_Maine.html;Best Restaurants in Ogunquit, ME - TripAdvisor;0;0;0;30;
;http://www.localrestaurantweek.com/restaurant_profilecd9c.html?id=319665&city=&time=&token=13519660784;Seabar - Buffalo - Local Restaurant Week;0;0;0;29;
;http://www.wwltv.com/story/news/2015/03/24/local-chefs-restaurants-advance-in-james-beard-contest/70372098/;Local chefs, restaurants advance in James Beard ... - New ...;0;0;0;25;
;http://www.daytonlocal.com/restaurants.asp;Dayton Ohio Restaurants - Dayton Local;0;0;0;16;
